iter	RMSE
0	282130.5723
1	271904.6364
2	260897.7848
3	250530.9176
4	240311.5958
5	231129.1121
6	221901.4532
7	213298.8643
8	205022.9099
9	197035.848
10	189266.2419
11	181978.4498
12	175226.3786
13	168855.1292
14	162636.1217
15	156238.2201
16	150581.9559
17	144860.0002
18	139424.7126
19	134450.443
20	129558.0949
21	124976.8301
22	120640.9649
23	116367.4125
24	112364.4066
25	108373.3613
26	104630.4437
27	101049.4305
28	97663.4303
29	94529.55645
30	91497.39655
31	88386.83822
32	85509.04674
33	82950.2601
34	80322.08618
35	77700.00335
36	75395.37828
37	73013.25471
38	70903.74901
39	68898.60401
40	67073.68559
41	65266.02784
42	63374.3966
43	61660.84264
44	60210.91822
45	58625.64865
46	57130.30348
47	55592.30301
48	54091.21529
49	52802.05329
50	51312.69374
51	50150.5432
52	49074.94561
53	47982.61002
54	46934.22399
55	45897.73895
56	44920.32756
57	44041.66689
58	43190.13325
59	42337.63118
60	41424.67069
61	40667.89452
62	39924.27115
63	39161.4602
64	38473.42145
65	37797.41918
66	37014.0337
67	36441.21537
68	35740.10136
69	35129.19304
70	34600.61077
71	34103.02872
72	33630.83937
73	33143.67149
74	32674.87653
75	32278.24442
76	31803.30896
77	31341.00375
78	30899.04482
79	30497.74146
80	30052.85395
81	29666.02293
82	29288.20329
83	28960.96744
84	28563.81607
85	28241.66698
86	27903.10967
87	27548.83608
88	27240.78044
89	27002.03487
90	26760.01608
91	26392.60364
92	26190.40289
93	26032.84987
94	25790.69816
95	25647.69994
96	25483.50897
97	25246.48055
98	25105.31589
99	24903.50656
100	24754.96897
101	24485.83365
102	24444.06345
103	24231.56193
104	24143.94522
105	23839.15489
106	23679.59727
107	23584.78351
108	23324.10069
109	23205.70205
110	23012.95777
111	22985.06714
112	22872.49167
113	22745.52855
114	22541.6257
115	22455.81405
116	22400.51964
117	22371.93786
118	22342.86355
119	22320.89889
120	22104.64561
121	22078.96237
122	21863.29126
123	21830.58427
124	21763.84131
125	21673.74159
126	21560.50279
127	21538.11328
128	21432.44657
129	21329.5775
130	21251.25802
131	21138.37521
132	21084.13272
133	21064.17409
134	20911.16758
135	20847.74537
136	20756.21109
137	20701.37609
138	20606.11786
139	20401.84471
140	20252.42477
141	20099.81213
142	19984.41468
143	19888.07472
144	19838.15434
145	19652.28142
146	19524.84749
147	19507.31527
148	19469.75384
149	19327.32414
150	19231.41804
151	19077.08051
152	19003.60093
153	18916.65122
154	18805.16374
155	18707.94073
156	18611.88752
157	18547.14768
158	18436.10765
159	18337.3079
160	18230.34557
161	18100.41083
162	18035.55408
163	17952.65962
164	17850.18435
165	17756.30866
166	17711.41821
167	17590.37719
168	17519.27334
169	17413.14027
170	17351.94675
171	17216.53968
172	17158.3031
173	17078.44274
174	16996.74193
175	16909.40333
176	16831.66285
177	16753.33932
178	16677.47742
179	16569.23357
180	16511.15303
181	16449.80404
182	16385.09479
183	16280.44631
184	16198.87151
185	16147.51856
186	16078.45743
187	16009.40315
188	15904.78234
189	15845.83713
190	15786.5996
191	15722.46237
192	15655.06261
193	15590.7484
194	15566.38999
195	15501.2939
196	15449.27463
197	15391.12775
198	15332.45607
199	15204.74066
200	15161.00688
201	15059.70053
202	14995.68894
203	14922.03373
204	14866.14389
205	14804.47259
206	14749.35719
207	14678.93738
208	14623.49703
209	14586.6735
210	14544.76847
211	14469.6065
212	14420.3759
213	14367.7796
214	14326.52848
215	14257.97809
216	14214.11582
217	14146.18115
218	14047.91797
219	13986.02752
220	13924.99102
221	13845.10871
222	13806.25487
223	13733.39397
224	13688.37836
225	13656.05401
226	13614.88666
227	13589.63905
228	13528.81595
229	13500.9326
230	13435.6653
231	13368.62302
232	13308.78385
233	13249.20195
234	13218.08623
235	13189.84902
236	13157.99174
237	13102.05959
238	13025.08245
239	13001.06843
240	12944.24117
241	12922.74034
242	12876.33682
243	12811.39593
244	12736.34201
245	12684.86571
246	12652.23514
247	12610.75844
248	12557.10011
249	12476.35611
250	12406.93317
251	12376.68978
252	12331.20362
253	12279.37271
254	12235.42833
255	12156.44321
256	12099.96261
257	12012.5473
258	11976.44398
259	11934.49451
260	11889.42053
261	11842.36336
262	11799.50007
263	11771.09764
264	11710.60987
265	11655.45847
266	11611.08454
267	11539.91692
268	11464.60632
269	11428.91347
270	11383.87016
271	11321.45865
272	11265.58387
273	11236.9863
274	11200.26492
275	11144.36833
276	11095.385
277	11062.49058
278	11025.20818
279	10985.12901
280	10946.92937
281	10921.9359
282	10895.67673
283	10859.36521
284	10811.21352
285	10758.53068
286	10705.39097
287	10671.90191
288	10627.22524
289	10593.127
290	10560.93675
291	10532.2051
292	10490.19702
293	10458.29098
294	10437.0822
295	10402.64584
296	10356.9883
297	10340.97629
298	10321.84834
299	10290.16782
300	10251.87466
301	10221.70178
302	10183.77393
303	10157.18272
304	10101.11287
305	10074.6941
306	10049.18567
307	10020.69225
308	9982.477956
309	9939.581537
310	9901.850787
311	9865.530052
312	9815.749186
313	9791.60762
314	9766.713173
315	9740.199208
316	9717.631926
317	9680.398149
318	9653.68704
319	9629.240575
320	9606.108346
321	9585.032523
322	9535.997098
323	9502.786002
324	9459.449162
325	9436.040522
326	9391.920927
327	9362.175584
328	9338.072263
329	9312.672183
330	9274.783794
331	9244.996688
332	9223.12239
333	9203.30783
334	9181.508694
335	9161.510221
336	9122.853876
337	9101.529864
338	9059.805013
339	9020.110244
340	8981.016937
341	8949.036703
342	8927.4761
343	8909.773633
344	8887.344813
345	8873.663376
346	8850.152541
347	8819.713671
348	8790.271724
349	8765.112252
350	8740.637869
351	8719.621447
352	8700.218916
353	8673.080106
354	8639.982775
355	8626.082343
356	8611.907618
357	8593.895914
358	8564.912499
359	8547.856207
360	8531.548035
361	8510.735401
362	8494.806068
363	8477.981079
364	8461.453979
365	8445.162642
366	8413.135725
367	8380.047272
368	8363.830035
369	8348.690851
370	8330.409769
371	8310.053552
372	8285.700802
373	8255.913249
374	8233.376117
