iter	Passed	Remaining
0	174	174171
1	188	94170
2	202	67289
3	217	54272
4	228	45444
5	237	39298
6	244	34751
7	252	31278
8	259	28548
9	266	26361
10	273	24608
11	281	23188
12	288	21885
13	295	20846
14	303	19933
15	311	19147
16	319	18448
17	326	17816
18	334	17268
19	342	16775
20	353	16497
21	361	16054
22	368	15656
23	376	15304
24	386	15087
25	394	14792
26	403	14523
27	410	14236
28	417	13988
29	425	13765
30	433	13550
31	441	13345
32	449	13159
33	456	12982
34	464	12813
35	472	12648
36	479	12491
37	488	12362
38	496	12223
39	503	12084
40	511	11966
41	519	11844
42	527	11738
43	535	11629
44	543	11530
45	550	11410
46	558	11316
47	565	11216
48	573	11128
49	580	11027
50	588	10944
51	595	10852
52	602	10773
53	610	10702
54	619	10639
55	627	10571
56	634	10501
57	642	10431
58	649	10366
59	657	10303
60	665	10245
61	673	10183
62	680	10127
63	688	10070
64	696	10015
65	704	9962
66	711	9912
67	719	9858
68	726	9806
69	735	9770
70	744	9747
71	752	9692
72	759	9644
73	767	9599
74	775	9560
75	783	9520
76	791	9483
77	797	9431
78	805	9390
79	813	9352
80	821	9316
81	828	9279
82	836	9245
83	844	9210
84	852	9178
85	860	9144
86	868	9110
87	877	9098
88	885	9068
89	893	9033
90	901	9000
91	908	8969
92	916	8937
93	923	8905
94	931	8878
95	939	8850
96	948	8829
97	954	8788
98	962	8761
99	970	8733
100	978	8706
101	985	8677
102	993	8652
103	1000	8617
104	1007	8590
105	1015	8566
106	1023	8541
107	1031	8517
108	1039	8495
109	1047	8472
110	1054	8449
111	1063	8431
112	1071	8407
113	1079	8386
114	1087	8365
115	1094	8343
116	1103	8326
117	1113	8321
118	1123	8321
119	1136	8333
120	1145	8324
121	1155	8315
122	1165	8306
123	1174	8297
124	1183	8287
125	1192	8272
126	1200	8251
127	1208	8231
128	1216	8212
129	1224	8194
130	1232	8176
131	1240	8159
132	1245	8121
133	1253	8100
134	1261	8080
135	1269	8063
136	1277	8045
137	1284	8026
138	1292	8006
139	1300	7990
140	1308	7972
141	1316	7955
142	1321	7919
143	1329	7900
144	1337	7884
145	1344	7866
146	1352	7848
147	1360	7831
